id;natureza;mes;ano;quantidade
1;HOMICIDIO;1;2024;15
2;HOMICIDIO;2;2024;15
3;HOMICIDIO;3;2024;25
4;HOMICIDIO;4;2024;16
5;HOMICIDIO;5;2024;13
6;HOMICIDIO;6;2024;15
7;HOMICIDIO;7;2024;21
8;HOMICIDIO;8;2024;15
9;HOMICIDIO;9;2024;20
10;HOMICIDIO;10;2024;19
11;HOMICIDIO;11;2024;15
12;HOMICIDIO;12;2024;15
13;FEMINICIDIO;1;2024;4
14;FEMINICIDIO;2;2024;1
15;FEMINICIDIO;3;2024;0
16;FEMINICIDIO;4;2024;0
17;FEMINICIDIO;5;2024;3
18;FEMINICIDIO;6;2024;1
19;FEMINICIDIO;7;2024;1
20;FEMINICIDIO;8;2024;5
21;FEMINICIDIO;9;2024;1
22;FEMINICIDIO;10;2024;2
23;FEMINICIDIO;11;2024;3
24;FEMINICIDIO;12;2024;2
25;LATROCINIO;1;2024;0
26;LATROCINIO;2;2024;2
27;LATROCINIO;3;2024;0
28;LATROCINIO;4;2024;0
29;LATROCINIO;5;2024;0
30;LATROCINIO;6;2024;0
31;LATROCINIO;7;2024;1
32;LATROCINIO;8;2024;0
33;LATROCINIO;9;2024;1
34;LATROCINIO;10;2024;0
35;LATROCINIO;11;2024;1
36;LATROCINIO;12;2024;3
37;LESÃO CORPORAL SEGUIDA DE MORTE;1;2024;1
38;LESÃO CORPORAL SEGUIDA DE MORTE;2;2024;2
39;LESÃO CORPORAL SEGUIDA DE MORTE;3;2024;0
40;LESÃO CORPORAL SEGUIDA DE MORTE;4;2024;0
41;LESÃO CORPORAL SEGUIDA DE MORTE;5;2024;1
42;LESÃO CORPORAL SEGUIDA DE MORTE;6;2024;1
43;LESÃO CORPORAL SEGUIDA DE MORTE;7;2024;2
44;LESÃO CORPORAL SEGUIDA DE MORTE;8;2024;1
45;LESÃO CORPORAL SEGUIDA DE MORTE;9;2024;2
46;LESÃO CORPORAL SEGUIDA DE MORTE;10;2024;0
47;LESÃO CORPORAL SEGUIDA DE MORTE;11;2024;1
48;LESÃO CORPORAL SEGUIDA DE MORTE;12;2024;1
49;ROUBO A TRANSEUNTE;1;2024;821
50;ROUBO A TRANSEUNTE;2;2024;891
51;ROUBO A TRANSEUNTE;3;2024;916
52;ROUBO A TRANSEUNTE;4;2024;1017
53;ROUBO A TRANSEUNTE;5;2024;968
54;ROUBO A TRANSEUNTE;6;2024;905
55;ROUBO A TRANSEUNTE;7;2024;849
56;ROUBO A TRANSEUNTE;8;2024;941
57;ROUBO A TRANSEUNTE;9;2024;880
58;ROUBO A TRANSEUNTE;10;2024;856
59;ROUBO A TRANSEUNTE;11;2024;888
60;ROUBO A TRANSEUNTE;12;2024;727
61;ROUBO DE VEICULO;1;2024;79
62;ROUBO DE VEICULO;2;2024;72
63;ROUBO DE VEICULO;3;2024;99
64;ROUBO DE VEICULO;4;2024;114
65;ROUBO DE VEICULO;5;2024;113
66;ROUBO DE VEICULO;6;2024;72
67;ROUBO DE VEICULO;7;2024;59
68;ROUBO DE VEICULO;8;2024;83
69;ROUBO DE VEICULO;9;2024;89
70;ROUBO DE VEICULO;10;2024;84
71;ROUBO DE VEICULO;11;2024;75
72;ROUBO DE VEICULO;12;2024;79
73;ROUBO EM TRANSPORTE COLETIVO;1;2024;26
74;ROUBO EM TRANSPORTE COLETIVO;2;2024;10
75;ROUBO EM TRANSPORTE COLETIVO;3;2024;16
76;ROUBO EM TRANSPORTE COLETIVO;4;2024;17
77;ROUBO EM TRANSPORTE COLETIVO;5;2024;40
78;ROUBO EM TRANSPORTE COLETIVO;6;2024;18
79;ROUBO EM TRANSPORTE COLETIVO;7;2024;26
80;ROUBO EM TRANSPORTE COLETIVO;8;2024;19
81;ROUBO EM TRANSPORTE COLETIVO;9;2024;18
82;ROUBO EM TRANSPORTE COLETIVO;10;2024;18
83;ROUBO EM TRANSPORTE COLETIVO;11;2024;14
84;ROUBO EM TRANSPORTE COLETIVO;12;2024;7
85;ROUBO EM COMERCIO ;1;2024;38
86;ROUBO EM COMERCIO ;2;2024;32
87;ROUBO EM COMERCIO ;3;2024;42
88;ROUBO EM COMERCIO ;4;2024;30
89;ROUBO EM COMERCIO ;5;2024;24
90;ROUBO EM COMERCIO ;6;2024;36
91;ROUBO EM COMERCIO ;7;2024;30
92;ROUBO EM COMERCIO ;8;2024;35
93;ROUBO EM COMERCIO ;9;2024;24
94;ROUBO EM COMERCIO ;10;2024;29
95;ROUBO EM COMERCIO ;11;2024;36
96;ROUBO EM COMERCIO ;12;2024;22
97;ROUBO EM RESIDENCIA;1;2024;10
98;ROUBO EM RESIDENCIA;2;2024;17
99;ROUBO EM RESIDENCIA;3;2024;16
