ID_RA;ANO;COD_NATUREZA;MES;QUANTIDADE
1;2020;1;1;1
1;2020;1;2;2
1;2020;1;3;0
1;2020;1;4;2
1;2020;1;5;0
1;2020;1;6;0
1;2020;1;7;0
1;2020;1;8;0
1;2020;1;9;1
1;2020;1;10;0
1;2020;1;11;0
1;2020;1;12;0
1;2020;2;1;3
1;2020;2;2;0
1;2020;2;3;0
1;2020;2;4;0
1;2020;2;5;0
1;2020;2;6;0
1;2020;2;7;0
1;2020;2;8;1
1;2020;2;9;0
1;2020;2;10;0
1;2020;2;11;2
1;2020;2;12;2
1;2020;23;1;1
1;2020;23;2;4
1;2020;23;3;6
1;2020;23;4;8
1;2020;23;5;4
1;2020;23;6;8
1;2020;23;7;3
1;2020;23;8;2
1;2020;23;9;7
1;2020;23;10;5
1;2020;23;11;4
1;2020;23;12;2
1;2020;7;1;0
1;2020;7;2;1
1;2020;7;3;1
1;2020;7;4;1
1;2020;7;5;0
1;2020;7;6;0
1;2020;7;7;0
1;2020;7;8;1
1;2020;7;9;0
1;2020;7;10;1
1;2020;7;11;1
1;2020;7;12;0
1;2020;27;1;0
1;2020;27;2;0
1;2020;27;3;0
1;2020;27;4;0
1;2020;27;5;0
1;2020;27;6;0
1;2020;27;7;0
1;2020;27;8;0
1;2020;27;9;0
1;2020;27;10;0
1;2020;27;11;0
1;2020;27;12;1
1;2020;28;1;0
1;2020;28;2;0
1;2020;28;3;0
1;2020;28;4;0
1;2020;28;5;0
1;2020;28;6;0
1;2020;28;7;0
1;2020;28;8;0
1;2020;28;9;0
1;2020;28;10;0
1;2020;28;11;0
1;2020;28;12;0
1;2020;29;1;8
1;2020;29;2;5
1;2020;29;3;4
1;2020;29;4;8
1;2020;29;5;2
1;2020;29;6;7
1;2020;29;7;8
1;2020;29;8;3
1;2020;29;9;1
1;2020;29;10;4
1;2020;29;11;4
1;2020;29;12;8
1;2020;30;1;1
1;2020;30;2;2
1;2020;30;3;2
1;2020;30;4;0
1;2020;30;5;1
1;2020;30;6;1
1;2020;30;7;0
1;2020;30;8;1
1;2020;30;9;1
1;2020;30;10;1
1;2020;30;11;4
1;2020;30;12;3
1;2020;3;1;13
1;2020;3;2;18
1;2020;3;3;18
1;2020;3;4;19
1;2020;3;5;30
1;2020;3;6;12
1;2020;3;7;21
1;2020;3;8;14
1;2020;3;9;11
1;2020;3;10;13
1;2020;3;11;4
1;2020;3;12;12
1;2020;8;1;4
1;2020;8;2;1
1;2020;8;3;1
1;2020;8;4;2
1;2020;8;5;4
1;2020;8;6;1
1;2020;8;7;4
1;2020;8;8;5
1;2020;8;9;2
1;2020;8;10;1
1;2020;8;11;2
1;2020;8;12;3
1;2020;4;1;0
1;2020;4;2;0
1;2020;4;3;0
1;2020;4;4;0
1;2020;4;5;0
1;2020;4;6;0
1;2020;4;7;0
1;2020;4;8;0
1;2020;4;9;0
1;2020;4;10;1
1;2020;4;11;0
1;2020;4;12;0
1;2020;31;1;3
1;2020;31;2;0
1;2020;31;3;3
1;2020;31;4;0
1;2020;31;5;0
1;2020;31;6;1
1;2020;31;7;2
1;2020;31;8;1
1;2020;31;9;0
1;2020;31;10;1
1;2020;31;11;2
1;2020;31;12;0
1;2020;6;1;0
1;2020;6;2;0
1;2020;6;3;0
1;2020;6;4;0
1;2020;6;5;1
1;2020;6;6;0
1;2020;6;7;1
1;2020;6;8;0
1;2020;6;9;0
1;2020;6;10;0
1;2020;6;11;0
1;2020;6;12;0
1;2020;13;1;0
1;2020;13;2;1
1;2020;13;3;0
1;2020;13;4;0
1;2020;13;5;0
1;2020;13;6;0
1;2020;13;7;1
1;2020;13;8;1
